I0101 00:00:07.460472 432] [MCU] Process0x03_0x37_0x01 - TaskID=0,sendID=0,recvcount=100,walkstate=0,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:39:23.920591 432] [MCU] Process0x03_0x37_0x01 - TaskID=10154,sendID=10154,recvcount=20300,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:39:26.420897 432] [MCU] Process0x03_0x37_0x01 - TaskID=10154,sendID=10154,recvcount=20400,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:39:28.920756 432] [MCU] Process0x03_0x37_0x01 - TaskID=10154,sendID=10154,recvcount=20500,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:39:31.421264 432] [MCU] Process0x03_0x37_0x01 - TaskID=10154,sendID=10154,recvcount=20600,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:39:33.920696 432] [MCU] Process0x03_0x37_0x01 - TaskID=10154,sendID=10154,recvcount=20700,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:39:36.420712 432] [MCU] Process0x03_0x37_0x01 - TaskID=10154,sendID=10154,recvcount=20800,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:39:38.921494 432] [MCU] Process0x03_0x37_0x01 - TaskID=10154,sendID=10154,recvcount=20900,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:39:41.420825 432] [MCU] Process0x03_0x37_0x01 - TaskID=10154,sendID=10154,recvcount=21000,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:39:43.921128 432] [MCU] Process0x03_0x37_0x01 - TaskID=10154,sendID=10154,recvcount=21100,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:39:46.421783 432] [MCU] Process0x03_0x37_0x01 - TaskID=10154,sendID=10154,recvcount=21200,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:39:48.921700 432] [MCU] Process0x03_0x37_0x01 - TaskID=10154,sendID=10154,recvcount=21300,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:39:51.421130 432] [MCU] Process0x03_0x37_0x01 - TaskID=10154,sendID=10154,recvcount=21400,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:39:53.921339 432] [MCU] Process0x03_0x37_0x01 - TaskID=10154,sendID=10154,recvcount=21500,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:39:56.421326 432] [MCU] Process0x03_0x37_0x01 - TaskID=10154,sendID=10154,recvcount=21600,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:39:58.921787 432] [MCU] Process0x03_0x37_0x01 - TaskID=10154,sendID=10154,recvcount=21700,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:40:01.421957 432] [MCU] Process0x03_0x37_0x01 - TaskID=10154,sendID=10154,recvcount=21800,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:40:03.922081 432] [MCU] Process0x03_0x37_0x01 - TaskID=10154,sendID=10154,recvcount=21900,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:40:06.422303 432] [MCU] Process0x03_0x37_0x01 - TaskID=10154,sendID=10154,recvcount=22000,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:40:08.921531 432] [MCU] Process0x03_0x37_0x01 - TaskID=10154,sendID=10154,recvcount=22100,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:40:11.421525 432] [MCU] Process0x03_0x37_0x01 - TaskID=10154,sendID=10154,recvcount=22200,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:40:13.921977 432] [MCU] Process0x03_0x37_0x01 - TaskID=10154,sendID=10154,recvcount=22300,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:40:16.422307 432] [MCU] Process0x03_0x37_0x01 - TaskID=10154,sendID=10154,recvcount=22400,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:40:18.921691 432] [MCU] Process0x03_0x37_0x01 - TaskID=10154,sendID=10154,recvcount=22500,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:40:21.421604 432] [MCU] Process0x03_0x37_0x01 - TaskID=10154,sendID=10154,recvcount=22600,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:40:23.922169 432] [MCU] Process0x03_0x37_0x01 - TaskID=10154,sendID=10154,recvcount=22700,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:40:26.422164 432] [MCU] Process0x03_0x37_0x01 - TaskID=10154,sendID=10154,recvcount=22800,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:40:28.922333 432] [MCU] Process0x03_0x37_0x01 - TaskID=10154,sendID=10154,recvcount=22900,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:40:31.421944 432] [MCU] Process0x03_0x37_0x01 - TaskID=10154,sendID=10154,recvcount=23000,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:40:33.921911 432] [MCU] Process0x03_0x37_0x01 - TaskID=10154,sendID=10154,recvcount=23100,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:40:36.422305 432] [MCU] Process0x03_0x37_0x01 - TaskID=10154,sendID=10154,recvcount=23200,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:40:38.922417 432] [MCU] Process0x03_0x37_0x01 - TaskID=10154,sendID=10154,recvcount=23300,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:40:41.422660 432] [MCU] Process0x03_0x37_0x01 - TaskID=10154,sendID=10154,recvcount=23400,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:40:43.922322 432] [MCU] Process0x03_0x37_0x01 - TaskID=10154,sendID=10154,recvcount=23500,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:40:46.422363 432] [MCU] Process0x03_0x37_0x01 - TaskID=10154,sendID=10154,recvcount=23600,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=486, wheelR=430, Algorithm=0, Ultrasonic=0
I1211 20:40:48.922439 432] [MCU] Process0x03_0x37_0x01 - TaskID=10154,sendID=10154,recvcount=23700,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=508, wheelR=-526, Algorithm=0, Ultrasonic=0
I1211 20:40:51.423115 432] [MCU] Process0x03_0x37_0x01 - TaskID=10154,sendID=10154,recvcount=23800,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=194, wheelR=6, Algorithm=0, Ultrasonic=0
I1211 20:40:53.923146 432] [MCU] Process0x03_0x37_0x01 - TaskID=10154,sendID=10154,recvcount=23900,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=458, wheelR=514, Algorithm=0, Ultrasonic=0
I1211 20:40:56.423187 432] [MCU] Process0x03_0x37_0x01 - TaskID=10154,sendID=10154,recvcount=24000,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=460, wheelR=-462, Algorithm=0, Ultrasonic=0
I1211 20:40:58.923462 432] [MCU] Process0x03_0x37_0x01 - TaskID=10154,sendID=10154,recvcount=24100,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:41:01.423153 432] [MCU] Process0x03_0x37_0x01 - TaskID=10154,sendID=10154,recvcount=24200,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:41:03.923422 432] [MCU] Process0x03_0x37_0x01 - TaskID=10155,sendID=10155,recvcount=24300,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:00:07.386315 432] [MCU] Process0x03_0x37_0x01 - TaskID=0,sendID=0,recvcount=100,walkstate=0,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:00:09.886618 432] [MCU] Process0x03_0x37_0x01 - TaskID=0,sendID=0,recvcount=200,walkstate=0,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:00:12.387107 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=300,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:00:14.886206 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=400,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:00:17.387090 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=500,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:00:19.886573 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=600,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:00:22.387325 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=700,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:00:24.886965 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=800,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:00:27.387437 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=900,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:00:29.887190 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=1000,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:00:32.386955 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=1100,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:00:34.887304 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=1200,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:00:37.386651 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=1300,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:00:39.887214 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=1400,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:00:42.386773 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=1500,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:00:44.887261 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=1600,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:00:47.387885 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=1700,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:00:49.887653 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=1800,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:00:52.387343 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=1900,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:00:54.887811 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=2000,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:00:57.387256 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=2100,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:00:59.888252 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=2200,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:01:02.387788 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=2300,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:01:04.887458 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=2400,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:01:07.387776 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=2500,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:01:09.888440 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=2600,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:01:12.387970 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=2700,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:01:14.888504 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=2800,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:01:17.387712 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=2900,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:01:19.887725 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=3000,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:01:22.388868 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=3100,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:01:24.888260 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=3200,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:01:27.388596 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=3300,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:01:29.888958 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=3400,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:01:32.388373 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=3500,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:01:34.888396 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=3600,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:01:37.387970 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=3700,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:01:39.889080 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=3800,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:01:42.388788 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=3900,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:01:44.889314 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=4000,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:01:47.388857 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=4100,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:01:49.889223 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=4200,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:01:52.389192 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=4300,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:01:54.889323 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=4400,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:01:57.389490 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=4500,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:01:59.889258 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=4600,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:02:02.389615 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=4700,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:02:04.889613 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=4800,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:02:07.388802 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=4900,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:02:09.889699 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=5000,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:02:12.389377 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=5100,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:02:14.889420 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=5200,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:02:17.389359 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=5300,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:02:19.889839 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=5400,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:02:22.389799 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=5500,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:02:24.889506 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=5600,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:02:27.389921 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=5700,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:02:29.889831 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=5800,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:02:32.390412 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=5900,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:02:34.890222 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=6000,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:02:37.390460 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=6100,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:02:39.890089 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=6200,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I0101 00:02:42.389988 432] [MCU] Process0x03_0x37_0x01 - TaskID=10002,sendID=10002,recvcount=6300,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
